First_pokemon,Second_pokemon,Winner
246,274,274
640,639,639
176,606,606
218,621,621
139,213,139
177,124,124
66,487,487
204,692,692
278,25,25
396,120,120
639,562,639
11,260,260
139,80,139
692,402,402
131,243,243
333,221,221
503,518,503
394,625,625
340,395,395
592,609,609
548,587,587
249,644,249
564,696,696
128,405,128
632,678,632
409,490,490
166,277,277
192,169,169
240,348,348
559,263,263
370,124,370
504,223,223
519,223,223
184,650,184
343,125,343
69,395,395
605,583,583
427,364,427
3,668,668
389,39,389
213,134,134
410,240,240
383,683,383
238,708,238
328,192,192
654,584,584
665,611,611
130,652,130
225,672,225
458,201,458
571,38,571
534,650,534
545,34,545
335,537,335
677,524,677
279,182,279
154,639,639
509,106,106
213,157,157
65,394,65
597,549,549
510,497,497
405,321,405
599,87,87
120,294,120
519,551,551
648,73,73
343,31,31
313,146,146
458,514,514
437,212,212
624,197,197
280,353,353
462,663,663
148,686,148
138,245,245
390,639,639
205,245,245
390,542,542
223,333,223
715,231,715
546,271,546
393,193,193
595,328,595
390,34,34
300,372,372
424,81,424
65,706,65
41,554,41
4,608,4
716,289,289
444,508,444
364,311,311
57,273,57
483,400,483
130,140,130
48,106,106
345,148,148
208,291,291
274,29,274
324,122,324
452,407,452
539,537,539
399,39,399
328,489,489
279,123,123
45,304,45
156,499,156
687,119,687
5,235,5
636,142,142
84,442,442
348,66,348
323,250,250
203,43,203
667,225,225
621,226,226
184,528,528
367,574,367
50,501,501
48,110,110
567,130,567
488,708,488
347,488,488
141,499,141
282,248,282
81,349,81
48,26,26
48,26,32
48,32,26
48,32,32
157,676,676
12,101,101
256,86,256
312,581,581
576,629,629
665,649,649
274,710,274
36,104,36
89,291,89
378,362,362
434,364,434
481,24,24
487,246,487
214,234,234
148,710,148
446,381,446
248,146,146
425,532,425
491,427,491
183,711,711
352,663,663
439,181,439
24,527,24
30,445,445
461,169,169
119,97,119
5,543,5
127,290,127
76,458,458
674,51,51
204,654,654
693,603,693
644,393,644
22,487,487
18,719,18
636,135,135
282,573,573
145,604,145
49,680,680
461,393,461
698,244,244
18,561,18
89,230,230
299,486,486
465,7,465
708,319,319
607,209,209
561,47,561
480,649,649
392,223,392
471,688,471
345,140,140
429,329,429
127,636,127
323,670,670
267,544,267
88,244,244
661,127,127
119,675,119
550,98,550
52,500,500
596,134,596
563,682,563
472,21,472
717,426,717
333,357,357
474,383,383
64,410,64
482,264,482
317,355,317
627,118,118
195,639,639
308,352,308
533,73,73
711,441,441
21,662,662
413,363,413
518,697,697
57,75,57
237,205,237
283,486,486
197,396,197
515,278,278
193,583,193
84,697,84
107,610,107
122,63,63
508,361,508
582,202,582
296,150,150
45,51,45
218,402,402
520,614,520
712,657,657
381,649,381
474,146,146
106,50,50
326,574,326
48,479,479
697,164,697
86,655,655
718,391,718
281,231,281
532,664,664
508,385,385
266,263,263
691,664,691
201,92,92
606,80,606
114,700,700
241,142,142
97,454,454
407,553,553
98,42,42
653,530,530
130,658,658
441,220,441
340,118,118
3,661,3
451,83,451
647,95,647
413,12,12
655,2,655
230,325,230
334,338,334
326,694,326
182,101,182
140,689,689
159,584,584
392,53,53
553,397,553
712,117,117
505,198,198
145,573,573
353,16,16
372,368,368
319,394,319
76,509,509
158,548,158
699,512,512
45,425,425
406,97,97
491,698,491
473,671,473
416,691,691
135,720,720
512,39,512
509,672,509
178,22,22
228,399,228
389,38,38
717,327,717
181,687,687
405,713,405
195,396,396
702,522,702
367,53,53
365,376,376
211,617,617
682,181,181
518,388,388
194,34,34
14,412,412
480,673,480
640,565,640
367,375,367
465,126,126
417,81,417
454,451,454
540,582,582
413,77,77
489,473,473
643,469,469
10,56,56
659,450,659
167,227,227
672,108,672
650,514,514
443,31,31
481,141,141
140,146,146
669,14,669
167,519,519
63,278,63
439,183,439
621,455,621
2,557,2
666,235,666
64,721,64
111,61,61
669,549,549
62,362,362
482,647,482
517,52,52
680,23,23
357,578,357
195,668,195
414,632,632
413,582,582
554,590,554
228,533,533
660,526,526
464,671,464
394,473,473
572,383,383
292,270,292
415,713,713
699,6,6
408,421,421
222,662,222
626,175,626
250,16,250
669,712,669
428,207,428
514,260,514
559,492,492
1,617,617
534,121,534
387,310,310
228,406,228
15,645,645
407,23,407
66,104,104
341,80,341
619,713,619
166,694,166
524,448,448
526,530,530
663,1,663
429,472,429
665,15,15
572,318,572
507,684,507
323,75,323
381,78,381
549,199,549
113,528,528
146,70,146
457,269,457
692,623,623
385,187,385
458,183,458
285,42,42
73,289,289
415,187,415
638,43,638
66,436,66
565,289,289
200,595,200
570,643,643
630,304,630
8,284,284
434,17,434
603,155,155
33,275,275
690,691,691
395,1,395
388,127,127
638,387,638
46,346,346
145,156,145
698,341,698
712,628,628
359,235,235
91,158,91
52,233,52
209,265,209
333,548,333
373,479,373
585,270,585
11,685,685
181,703,181
245,62,245
504,679,679
680,229,229
408,278,278
298,514,514
242,61,61
267,604,267
116,445,445
232,99,99
63,196,196
111,312,111
208,158,158
633,86,86
373,234,373
180,546,546
117,74,117
636,308,308
382,642,642
373,343,373
522,383,383
469,248,469
280,644,644
352,443,443
500,64,500
487,137,137
62,330,330
610,663,663
570,10,570
579,311,311
333,385,385
693,476,693
362,148,362
102,608,608
203,669,203
372,585,585
464,98,98
560,667,667
196,118,196
623,586,586
370,381,381
450,627,627
376,520,376
67,255,255
343,181,181
268,459,459
259,171,259
351,637,637
271,672,672
316,713,316
39,298,298
81,707,707
139,219,139
703,605,703
246,277,277
541,342,342
25,441,441
84,167,84
528,356,528
428,388,428
328,384,384
93,16,16
247,167,247
7,13,13
225,162,162
193,417,417
707,689,707
177,652,177
495,397,397
480,75,480
114,388,114
536,565,536
373,50,373
412,277,277
59,582,59
524,294,294
242,194,194
107,443,107
68,431,431
680,594,594
407,159,407
342,458,342
714,187,714
431,483,483
352,144,144
304,586,586
506,28,28
79,451,451
198,389,198
492,707,492
276,323,276
392,568,392
193,362,193
522,604,522
46,709,709
443,379,379
467,521,521
8,700,700
262,288,288
72,571,571
389,76,389
505,49,49
288,683,288
228,623,228
636,199,636
69,507,507
405,16,405
122,425,122
449,199,449
102,173,102
33,467,467
119,279,119
282,33,282
637,412,637
644,410,644
94,280,94
363,220,220
448,259,448
587,440,587
135,174,135
98,26,26
98,26,32
98,32,26
98,32,32
499,482,482
22,38,38
255,153,153
588,590,588
576,359,359
199,266,199
516,213,516
307,306,307
72,358,72
166,35,166
192,623,623
572,431,431
432,628,432
242,41,41
80,53,53
575,633,633
634,253,253
436,93,93
435,599,599
652,569,569
323,237,237
436,544,544
21,720,720
543,121,121
308,479,479
274,164,164
240,326,240
386,427,386
159,208,159
59,158,59
716,228,716
477,391,391
142,588,142
565,138,138
134,598,598
318,96,318
541,659,659
317,474,474
519,340,519
2,198,198
7,535,535
478,691,478
281,364,281
145,238,145
48,539,539
383,659,383
214,306,214
149,105,149
53,109,53
570,673,673
439,644,644
165,628,628
149,393,149
658,203,658
643,693,643
720,610,610
5,41,5
641,663,663
674,229,229
702,408,702
262,618,262
483,278,483
194,624,624
452,56,452
107,619,107
333,618,618
414,415,415
223,300,223
215,605,215
249,701,701
184,359,359
166,320,166
603,33,33
427,366,427
350,653,350
365,520,520
114,548,114
451,114,451
505,648,648
221,85,85
584,420,584
81,422,81
510,206,510
581,36,581
500,291,291
116,560,116
256,169,169
543,120,120
498,513,513
374,204,374
122,166,122
645,240,645
463,537,537
516,477,516
248,412,248
571,104,571
335,93,93
338,55,55
229,310,310
236,24,24
629,532,629
109,319,319
200,24,200
482,487,482
268,46,46
111,236,236
163,410,163
136,313,313
631,62,62
488,650,488
85,669,85
317,529,529
206,508,508
151,499,151
44,282,282
329,648,648
209,458,209
2,533,2
44,124,124
413,102,102
605,88,605
240,199,199
347,632,632
446,436,446
285,141,141
319,601,319
464,120,464
490,92,490
414,628,628
103,417,417
108,337,337
490,48,490
429,532,429
695,531,695
615,13,615
231,239,231
47,445,445
677,445,445
427,654,427
281,219,281
264,472,264
681,39,681
267,422,267
142,300,142
576,327,576
15,336,15
474,187,474
119,633,119
199,650,650
466,109,466
117,263,117
499,198,198
691,79,691
497,450,497
259,544,259
551,662,662
354,286,286
131,107,107
10,149,149
510,443,510
490,117,490
435,196,196
472,206,472
364,139,139
342,235,235
669,161,669
107,441,441
336,454,454
260,234,234
487,222,487
43,248,248
470,162,470
519,629,629
697,669,697
414,239,239
509,719,509
133,136,136
282,266,282
521,490,490
74,64,74
164,465,164
135,567,135
253,278,253
559,250,250
607,293,293
438,475,475
352,147,147
43,574,574
716,339,716
512,322,512
382,122,122
272,538,272
700,298,700
352,298,352
471,467,467
356,678,678
636,90,636
424,271,424
581,558,581
404,638,638
523,404,523
228,6,6
553,576,553
11,167,167
562,62,62
258,648,648
152,690,152
144,130,144
160,635,635
714,78,78
48,198,198
44,370,44
525,415,525
613,313,313
336,358,358
24,182,24
370,367,367
565,158,158
609,360,609
327,595,595
108,643,643
79,344,79
637,408,637
394,554,554
370,484,484
213,193,193
107,713,107
34,209,34
462,541,462
567,67,567
201,566,566
552,174,552
536,353,536
495,620,620
695,360,695
444,345,444
41,646,646
557,405,405
96,538,538
630,116,630
67,631,631
39,290,290
535,699,535
534,358,358
94,48,94
673,604,673
313,371,313
392,543,392
102,270,102
420,312,312
383,543,383
50,718,718
268,227,227
532,305,305
321,635,635
468,169,169
453,384,384
16,541,16
313,560,313
208,211,211
147,323,147
145,253,145
130,480,480
252,694,694
89,639,639
542,406,542
462,578,462
484,554,484
57,363,57
253,554,554
715,448,715
526,681,681
267,48,267
66,377,377
478,597,478
409,478,478
600,349,600
416,681,681
512,94,94
197,214,214
531,92,92
422,238,238
651,224,651
144,473,144
1,625,625
343,277,277
603,507,507
713,115,115
324,390,390
377,663,377
200,180,200
468,638,638
176,107,107
210,513,513
76,673,673
599,334,334
696,11,696
507,201,507
338,25,25
150,422,150
634,516,516
150,122,150
446,294,446
614,553,553
577,502,502
260,376,376
210,26,26
210,26,32
210,32,26
210,32,32
545,328,545
386,342,386
262,16,262
721,382,382
448,183,448
198,347,198
617,86,617
541,138,541
150,613,150
622,419,419
335,343,335
127,141,127
675,229,229
260,308,308
259,264,264
592,50,50
1,497,497
485,691,485
120,311,311
59,471,59
160,503,160
144,19,144
283,101,101
98,197,197
4,108,4
158,516,516
272,375,272
679,620,620
261,38,38
445,351,445
25,630,25
595,366,595
434,616,434
339,546,546
665,655,655
248,395,248
177,16,177
56,516,516
336,401,336
314,298,314
627,127,127
384,76,384
109,670,670
300,275,275
302,370,370
442,580,580
692,441,441
632,505,632
183,213,183
12,49,49
405,537,537
46,5,5
435,405,435
93,466,466
608,121,121
712,143,143
492,701,701
335,314,335
214,369,214
521,275,521
156,409,409
594,31,31
618,652,652
407,501,407
314,158,314
474,639,639
473,74,473
333,225,225
271,266,271
534,365,365
490,539,490
641,384,641
75,256,256
523,487,523
121,461,461
342,454,454
193,106,193
199,540,540
452,600,600
144,72,144
450,628,628
136,97,97
609,649,649
577,256,256
195,445,445
689,361,689
505,555,555
648,272,648
711,202,711
399,693,693
292,94,94
2,642,642
536,620,620
668,639,639
281,147,147
576,285,576
57,385,385
614,322,614
408,49,49
356,393,393
290,106,106
332,278,332
461,149,461
179,692,692
7,145,145
683,388,388
630,195,630
220,35,220
120,209,209
234,144,144
613,374,613
279,509,509
507,330,330
488,613,488
169,47,169
44,414,414
596,209,596
498,385,385
411,246,246
65,181,65
592,666,666
95,175,95
438,343,343
485,569,485
688,64,64
393,471,471
718,332,718
98,646,646
235,274,235
62,559,62
226,339,226
721,161,721
448,124,124
63,335,335
23,201,23
633,327,327
424,410,424
334,244,244
394,383,383
334,643,643
306,205,306
646,159,646
657,704,657
429,80,429
548,497,497
